Year,Asia,Oceania,Europe,Americas,Africa
2000,16663389.689,375794.56000000006,16543059.819391,7563374.94,792325.763652
2001,17240549.836,385127.4,16752032.81227,7534506.32,851368.2436170001
2002,18098402.69,392689.39999999997,16722548.885749001,7402663.0200000005,862603.0522569999
2003,19637600.014000002,394975.70000000007,17233414.223864,7512793.220000001,906591.2461639999
2004,21498007.534,408729.1,17223217.721517004,7641751.42,956384.1993629998
2005,23279361.122,412006.6,17175261.468322,7715501.620000001,989839.2492249999
2006,24922929.41,417666.7,17390697.013799995,7652219.84,1005475.830212
2007,26669911.4,427291.39999999997,17308488.743925,7813921.06,1036355.984679
2008,27459870.94,430823.1,17056126.607867,7655974.680000001,1095588.782288
2009,28726796.929999996,434371.2,15774443.947672999,7182448.140000001,1088126.321108
2010,31018214.86,437031.89999999997,16322631.656438995,7538111.239999999,1146830.4972239998
2011,33253080.98,434760.4000000001,16208984.615993002,7397656.800000001,1142010.784189
2012,34433373.55999999,437463.0999999999,15977931.574446999,7249172.64,1213051.535
2013,35545336.35,430539.2000000001,15597700.729887,7440514.0200000005,1254438.1690000002
2014,36121832.85,422386.80000000005,14900771.346169999,7470034.657199999,1304239.8719999997
2015,35972264.93,429752.10000000003,14915485.203793999,7339429.24,1296953.882
2016,36262844.730000004,437824.19999999995,14946668.360256,7198824.152000001,1311396.5320000001
2017,37271111.36000001,442182.30000000005,15073549.294397,7109802.639999999,1339957.282
2018,38674601.95999999,441373.50000000006,15022051.880402999,7226246.140000001,1361681.1474999997
2019,39142070.03,442593.2,14581073.230716,7042022.22,1379356.82
2020,38576422.34,420203.99999999994,13473648.540492,6308263.22,1274090.613
