Year,Asia,Oceania,Europe,Americas,Africa
2000,5620370.0,1832543.0,2033516.8,16639185.7,6540708.0
2001,5642237.0,1830278.0,2040022.8,16589264.0,6508431.0
2002,5664115.0,1828014.0,2046377.8,16539359.0,6477348.0
2003,5685986.0,1826039.0,2052728.8,16489444.0,6445153.0
2004,5707861.0,1823725.0,2059080.8,16443475.0,6413942.0
2005,5700577.0,1821411.0,2065431.8,16393335.0,6384226.0
2006,5751727.0,1819098.0,2074472.8,16343191.0,6352191.0
2007,5773719.0,1816785.0,2081401.8,16293053.0,6320159.0
2008,5795712.0,1814469.0,2088330.8,16242909.0,6433519.0
2009,5817706.0,1812157.0,2095260.8,16192770.0,6397183.0
2010,5837770.0,1809844.0,2102194.8,16128804.7,6432428.0
2011,5846619.0,1816684.0,2107274.8,16101782.7,6321346.0
2012,5855473.0,1823522.0,2112354.8,16074762.7,6281847.0
2013,5864326.0,1830364.0,2117440.8,16047743.7,6242465.0
2014,5873182.0,1837204.0,2122521.8,16020723.7,6203185.0
2015,5882036.0,1844042.0,2127606.8,15993709.7,6127610.0
2016,5905134.0,1853158.0,2131983.8,15970524.7,6078910.0
2017,5969680.0,1852579.0,2234005.8,15960527.7,6477694.0
2018,5980781.0,1852218.0,2237818.8,15936969.7,6438382.0
2019,5991893.0,1852041.0,2241619.8,15911568.7,6398281.0
2020,6002924.0,1852031.0,10398521.8,15887360.7,6358580.0
