Country Name,Region,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
阿富汗,亚洲,AFG,二氧化碳排放量（千吨）,1078.12,1088.638,1403.03,1653.207,1292.307,1961.711,2283.68,2847.81,4375.64,6558.97,8576.15,11961.89,10208.13,9402.05,9281.34,10057.59,9294.93,10022.78,10972.38,11238.83,8709.47,,
安哥拉,非洲,AGO,二氧化碳排放量（千吨）,16204.16,15955.9,15689.5,16764.8,17453.6,15811.2,16558.6,16966.4,19275.3,21145,22801.5,23865.8,23868,26958.7,29610.5,31648.9,29520.7,25064.8,23637.4,24382.9,19814.5,,
阿尔巴尼亚,欧洲,ALB,二氧化碳排放量（千吨）,3186.54,3234.2,3761.9,4137.4,4322.3,4095.9,4081.8,4258.4,4209.5,4368.2,4785.4,5136.7,4541.8,4795.4,5188,4797,4573.2,5403.7,5316.1,4993.3,4383.2,,
安道尔共和国,欧洲,AND,二氧化碳排放量（千吨）,523.952,523.952,531.28,534.944,560.592,575.248,545.936,538.608,538.608,516.624,516.624,490.976,487.312,476.32,461.664,465.328,468.992,465.328,494.64,479.984,448.884399,,
阿拉伯联盟国家,亚洲,ARB,二氧化碳排放量（千吨）,933988.54,985508.25,1019038.88,1049960.51,1106497.6,1182132.3,1245032.15,1296134.5,1400755.46,1447553.6,1533676.6,1567405.8,1674146.7,1706820.79,1766583.07,1809147.15,1827587.97,1843231.7,1826351.9,1845846.37,1765052.9,,
阿拉伯联合酋长国,亚洲,ARE,二氧化碳排放量（千吨）,84729.1,97196.5,99146.3,103820.5,110007.6,116453.9,121562.5,131831.6,156044.4,157019.8,162788.9,166631.5,175687.9,184960.8,186639.8,195409.4,200398.5,191935,174220.3,185645.7,188088.7,,
阿根廷,美洲,ARG,二氧化碳排放量（千吨）,132265.5,125255.2,117462.1,127653.5,141376.4,145995.4,154917.5,162820.2,167231.8,156567.5,167226.3,176641.6,177955.3,183255.7,179600.7,185550,183158.7,179267.3,176894.6,168162,154535.9,,
亚美尼亚,亚洲,ARM,二氧化碳排放量（千吨）,3561,3602,3118.7,3495.4,3763.8,4460.9,4489.2,5204.4,5685.5,4510.8,4336.6,4937.1,5716.5,5501.5,5479,5343.4,5066.7,5371.3,5712.2,6195.6,6746.6,,
安提瓜和巴布达,美洲,ATG,二氧化碳排放量（千吨）,312.5,321.9,335.1,360.7,367.4,376.7,398,419.2,428.1,453.6,465.8,456.1,469.9,472.9,476.6,490.2,500.5,500.1,508.6,509,474.6,,
澳大利亚,大洋洲,AUS,二氧化碳排放量（千吨）,339422.8,345609.4,353315.8,352893.5,366141.6,368801.9,374104.4,384368.3,387570.3,393859.7,395993.2,394436.7,395690,388427.4,379267.2,385782.4,394803.6,397149.4,396059.9,395199.1,378996.8,,
奥地利,欧洲,AUT,二氧化碳排放量（千吨）,63538.6,67914.4,69374.2,74467.9,75802.1,76242.4,74104.4,71248,70734.7,64420.7,69965.1,68276,65112,65752.7,62054.5,63254.7,63697.1,65867.7,63131.4,64497.8,59142.4,,
阿塞拜疆,亚洲,AZE,二氧化碳排放量（千吨）,27687.2,26397.2,26177.6,28569.4,28311.9,30043.4,30488.4,27627.7,30447.6,25495.8,24311.9,27282.1,30110.6,30939.6,32243.4,31773.3,32239.4,31957,32728.1,35521,34305,,
布隆迪,非洲,BDI,二氧化碳排放量（千吨）,262.6,210.2,218.1,171.2,159.6,161,191.6,192.1,198.7,198.1,323.3,359.3,364.2,366.4,364.8,366.8,442,529.1,664.9,707.4,713.466,,
比利时,欧洲,BEL,二氧化碳排放量（千吨）,117274.6,118339.8,110850.2,115502.1,113350.8,110960.2,108081.5,103905.8,106715.4,99904.4,106872.8,96488.2,95275.6,96550.6,90362.4,95096,94171.6,92587.4,93523.2,92989.4,85364.1,,
贝宁,非洲,BEN,二氧化碳排放量（千吨）,1424.5,1735.1,2177.3,2443.2,2646.4,2899.6,3471.4,3998.2,4017.6,4417.2,4825.1,4652.6,4444.7,4676.4,5186.1,5505.6,6739,6876.2,7604,7475.5,7980.4,,
布基纳法索,非洲,BFA,二氧化碳排放量（千吨）,1048.93,1024.23,1027.23,1102.48,1133.84,1151.29,1400.48,1682.82,1909.6,1930.1,2094.3,2200.4,2693,2947,2997,3801.8,3997.8,4625.2,5147.7,5646.5,5456.7,,
孟加拉国,亚洲,BGD,二氧化碳排放量（千吨）,20686.7,25634.5,27284.2,28629.8,30527.5,32710.8,35902.8,37992.3,41580.8,44750,50487.6,54309.9,58985.2,62965.7,66313.1,73156.9,81128.9,87658,95944.6,92645,85493.1,,
保加利亚,欧洲,BGR,二氧化碳排放量（千吨）,43421.1,46185.6,43599.9,47933.3,47265.7,47985.6,48954.8,52598.7,50039.3,42907.8,44740.6,49637.6,45023.1,39660.7,42054.4,44556.5,41586.7,43885.1,40898.2,39159.9,34138.1,,
巴林,亚洲,BHR,二氧化碳排放量（千吨）,15876.5,16386.32,17221.48,17944.11,17927.3,20693.7,22485.4,23001,24762.2,24717.1,25965.7,26017.6,27174.2,28853,30282.7,30492.4,30301.1,30514.9,30844.4,32966.8,32470.2,,
巴哈马,美洲,BHS,二氧化碳排放量（千吨）,2115.3,2034.5,2068.8,2116,2094.7,1955.6,1906.6,1931.7,1981.2,2008.5,1979.4,2183,2394.3,2805.4,2518.9,2207.4,2040.7,2170.2,2795.4,2622.7,2456,,
波斯尼亚和黑塞哥维那,欧洲,BIH,二氧化碳排放量（千吨）,13955.1,13763.7,14556,14871.4,15571.7,16225.4,17910.2,18888.5,20761.2,20589.7,20842.5,23738.2,21960.2,21847.8,19506.8,19629,22356.6,22692.7,22615.8,21124.3,20946.8,,
白俄罗斯,欧洲,BLR,二氧化碳排放量（千吨）,52967.5,51720.2,51752.9,52525.9,55753.4,56464.6,58794.1,57326.9,60231.7,57177.3,61443.7,58325.8,59738.3,59891.2,59431.8,54871.3,55201.4,56247,59271.6,57681.2,54801.5,,
伯利兹,美洲,BLZ,二氧化碳排放量（千吨）,425.2,481.4,449.7,450.2,409.6,435.3,461.2,491.6,450.9,532,531.2,573.4,465.3,457.4,483.7,675.1,651.3,643.1,630,736.2,687.6,,
玻利维亚,美洲,BOL,二氧化碳排放量（千吨）,8108.1,7812.9,8339.5,8878.7,9382.4,9883,10714.9,11907.5,12734.2,13570.4,14702.2,15991.7,16961,18123.9,19478.3,20002.9,21328.7,21628.2,21881.2,21828.8,18375.3,,
巴西,美洲,BRA,二氧化碳排放量（千吨）,313670.8,319375.7,317756.5,310808.1,328517.3,331689.1,335624.6,352555.8,373633.1,350000.9,397931.1,418295.4,454232.9,486844.7,511618,485344.1,447077.3,455684.8,433838.8,434318,414138.8,,
巴巴多斯,美洲,BRB,二氧化碳排放量（千吨）,1188.1,1216.8,1206.3,1249.9,1280.2,1326.1,1347.6,1367,1619,1599.7,1481.5,1516.25,1467.62,1439.47,1282.07,1269.57,1290.77,1179.97,1270.17,1167.27,1096.07,,
文莱达鲁萨兰国,亚洲,BRN,二氧化碳排放量（千吨）,4717.9,4708.8,4620.1,5515.5,5103,4991.3,7520.8,7143.2,7912.5,7874.3,7170.8,7332.7,7299.5,7208.8,7080.3,6397.7,6968.5,7290.2,7540,7057.8,9588,,
不丹,亚洲,BTN,二氧化碳排放量（千吨）,388.84,379.31,411.52,377.73,313.51,395.42,397.5,398.71,422.62,396.83,493.18,744.2,833.9,908,1012.4,1042.1,1228.4,1309.5,1454.3,1433,1035.2,,
博茨瓦纳,非洲,BWA,二氧化碳排放量（千吨）,4033.8,3865.6,4026.7,3915,3970.3,4278.6,4086.9,4319.8,4392.7,4186.58,3371.7,3883.337,3414.335,5421.539,6988.912,6949.712,6629.312,7337.512,8061.3875,7198.3,5763.687,,
中非共和国,非洲,CAF,二氧化碳排放量（千吨）,243.2,253,249.8,231,226.2,224.1,234.3,237.8,171.4,168.2,174.8,194.2,197.2,120.6,130.4,184.4,206.4,222.4,229.1,235.4,236.6,,
加拿大,美洲,CAN,二氧化碳排放量（千吨）,514215.1,506615.9,524353.4,544541.8,536417.3,549032.7,540525.6,571632,550553.2,521399.4,537091.5,549369.9,546291.6,555742.4,561760.5,558747.2,556874.1,568175.9,579573.9,566001.8,516873.7,,
中歐和波羅的海,欧洲,CEB,二氧化碳排放量（千吨）,710574.87,722553,707700.2,736222.1,735101.1,735068,753388.1,758838.8,740343.6,684780.6,708417.9,709498.9,682324.9,655837.7,635436.5,644756,656753.9,684083.3,678446.5,643612.1,598490.02,,
瑞士,欧洲,CHE,二氧化碳排放量（千吨）,43708.8,45154.7,43573.3,44839.5,45283.9,45850.7,45479.3,43541.2,44962.5,43668.6,45207.8,41192.3,42516.6,43531.2,39793.3,39090.8,39666.5,38699,37481.3,37376.3,34916.1,,
智利,美洲,CHL,二氧化碳排放量（千吨）,50424.5,48425.1,49121.4,50200.6,54972.1,55968.9,57148.1,64574,67991.6,65450.6,69749.1,76470.5,78412.6,82998.5,76560.3,82260.4,86504.7,87136.9,86581.3,91915.4,84827.8,,
中国,亚洲,CHN,二氧化碳排放量（千吨）,3346525.8,3529081.3,3796157.1,4424412.6,5113216.6,5824625.1,6437470.3,6993182.8,7199604.7,7719071.4,8474922.7,9282553.7,9540539.7,9979128,10021043.4,9859281.2,9860914,10089273.2,10567262,10762824,10944686.2,,
科特迪瓦,非洲,CIV,二氧化碳排放量（千吨）,6489.4,6494.3,6838.9,5307.6,5466.1,5876.5,5698.7,5657.8,6474.7,6031.2,6350.6,6118.3,8037.7,8692.4,9196.9,9805.7,9593.5,10563.8,10194.8,10838.9,10894.9,,
喀麦隆,非洲,CMR,二氧化碳排放量（千吨）,5209.1,5156.8,5133.3,5206,5122.6,5016.3,5091.7,6131.5,6393.5,7032.4,7014.4,6801.5,6866.7,7526.8,8222.8,8500.2,8974.7,9076,9749.7,9557.3,9928.4,,
刚果（金）,非洲,COD,二氧化碳排放量（千吨）,1634.93,1565.44,1650.2,1998.6,1939.7,2208.7,2282.8,2472.8,2553.3,2502.8,2653.9,3016.9,2827.3,3959.5,5136.1,3231.4,2421.14,2845,2813.9,3031.2,3025.6,,
刚果（布）,非洲,COG,二氧化碳排放量（千吨）,4346.986,4243.5,2755.2,3224.9,3514.5,4313.23,4777.96,4150.72,4360.59,4838.56,5423.35,5383.97,5260.75,5311.61,5175.1,5655,5497.6,5406.7,6216.9,7006.1,7153.9,,
哥伦比亚,美洲,COL,二氧化碳排放量（千吨）,58995.5,59588.3,57373,56716,56608.9,58187,58193,59709.9,60298.1,62670.6,64146.1,69771.1,70223.2,77725.4,80091,81017.2,83526.2,75674,79355.2,79186.7,79057.6,,
科摩罗,非洲,COM,二氧化碳排放量（千吨）,104.9,109.8,109.7,139.7,153.2,147,172.1,111.8,114.1,140.4,167.8,150,160.1,192.2,171.9,185.9,217.9,279,302.7,326.2,328.2,,
佛得角,非洲,CPV,二氧化碳排放量（千吨）,305.8,358.5,392,419.1,416,451.5,518.7,460,475.7,510.6,540.7,566.8,525.6,502,496.4,499.9,542.9,584.7,594.7,617.2,620.6,,
