排名,国家/地区,所在洲,年份,森林面积(平方公里),占世界比重
1,俄罗斯,欧洲,2020,8153116.0,20.1313%
2,巴西,美洲,2020,4966196.0,12.2623%
3,加拿大,美洲,2020,3469281.0,8.5662%
4,美国,美洲,2020,3097950.0,7.6493%
5,中国,亚洲,2020,2199781.0,5.4316%
6,澳大利亚,大洋洲,2020,1340051.0,3.3088%
7,刚果（金）,非洲,2020,1261552.0,3.1150%
8,印尼,亚洲,2020,921332.0,2.2749%
9,秘鲁,美洲,2020,723303.0,1.7859%
10,印度,亚洲,2020,721600.0,1.7817%
11,安哥拉,非洲,2020,666073.0,1.6446%
12,墨西哥,美洲,2020,656920.0,1.6220%
13,哥伦比亚,美洲,2020,591419.0,1.4603%
14,玻利维亚,美洲,2020,508337.0,1.2552%
15,委内瑞拉,美洲,2020,462309.0,1.1415%
16,坦桑尼亚,非洲,2020,457450.0,1.1295%
17,赞比亚,非洲,2020,448140.0,1.1065%
18,莫桑比克,非洲,2020,367437.0,0.9073%
19,巴布亚新几内亚,大洋洲,2020,358557.0,0.8853%
20,阿根廷,美洲,2020,285730.0,0.7055%
21,缅甸,亚洲,2020,285438.0,0.7048%
22,瑞典,欧洲,2020,279800.0,0.6909%
23,日本,亚洲,2020,249350.0,0.6157%
24,加蓬,非洲,2020,235306.0,0.5810%
25,芬兰,欧洲,2020,224090.0,0.5533%
26,中非,非洲,2020,223030.0,0.5507%
27,土耳其,欧洲,2020,222203.0,0.5487%
28,刚果（布）,非洲,2020,219460.0,0.5419%
29,尼日利亚,非洲,2020,216269.0,0.5340%
30,喀麦隆,非洲,2020,203404.0,0.5022%
31,泰国,亚洲,2020,198730.0,0.4907%
32,马来西亚,亚洲,2020,191140.0,0.4720%
33,西班牙,欧洲,2020,185721.0,0.4586%
34,圭亚那,美洲,2020,184153.0,0.4547%
35,苏丹,非洲,2020,183595.0,0.4533%
36,智利,美洲,2020,182107.0,0.4497%
37,津巴布韦,非洲,2020,174445.0,0.4307%
38,法国,欧洲,2020,172530.0,0.4260%
