Disaster Type,Subregion,Start Year,Region
Drought,Sub-Saharan Africa,2001,Africa
Drought,Northern Africa,2000,Africa
Drought,Sub-Saharan Africa,2000,Africa
Flood,Sub-Saharan Africa,2000,Africa
Extreme temperature,Southern Asia,2000,Asia
Volcanic activity,Latin America and the Caribbean,2000,Americas
Storm,Southern Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Wildfire,Sub-Saharan Africa,2000,Africa
Flood,Latin America and the Caribbean,2000,Americas
Extreme temperature,Southern Asia,2000,Asia
Storm,Northern America,2000,Americas
Earthquake,Southern Asia,2000,Asia
Storm,Eastern Europe,2000,Europe
Extreme temperature,Eastern Europe,2000,Europe
Earthquake,Eastern Asia,2000,Asia
Earthquake,Eastern Asia,2000,Asia
Storm,Sub-Saharan Africa,2000,Africa
Flood,South-eastern Asia,2000,Asia
Earthquake,Eastern Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Flood,Sub-Saharan Africa,2000,Africa
Storm,Eastern Asia,2000,Asia
Earthquake,Southern Asia,2000,Asia
Earthquake,Southern Asia,2000,Asia
Flood,South-eastern Asia,2000,Asia
Storm,Northern America,2000,Americas
Earthquake,Northern Europe,2000,Europe
Flood,Sub-Saharan Africa,2000,Africa
Flood,Northern America,2000,Americas
Earthquake,Latin America and the Caribbean,2000,Americas
Flood,Sub-Saharan Africa,2000,Africa
Volcanic activity,South-eastern Asia,2000,Asia
Extreme temperature,Northern Africa,2000,Africa
Storm,Western Asia,2000,Asia
Storm,Western Asia,2000,Asia
Flood,Sub-Saharan Africa,2000,Africa
Storm,Australia and New Zealand,2000,Oceania
Flood,Latin America and the Caribbean,2000,Americas
Flood,Sub-Saharan Africa,2000,Africa
Wildfire,Sub-Saharan Africa,2000,Africa
Storm,Sub-Saharan Africa,2000,Africa
Storm,Sub-Saharan Africa,2000,Africa
Earthquake,Latin America and the Caribbean,2000,Americas
Flood,Latin America and the Caribbean,2000,Americas
Wildfire,South-eastern Asia,2000,Asia
